source,title,link,published,summary,image_url,image_source,image_is_generic,title_ja
NOS (オランダ),"Dode vrouw gevonden in tuin woning Boxtel, bewoner aangehouden",https://nos.nl/l/2628584,2026-08-27T22:20:23,"<p>In de tuin van een woning aan de Eikengaard in Boxtel is donderdagavond rond 20.45 uur een overleden vrouw gevonden. <a href=""https://x.com/POL_OostBrabant/status/2093068948610732203"">De politie zegt</a> sterk rekening te houden met een misdrijf. De bewoner van het huis is rond 21.30 uur aangehouden nadat hij zichzelf had gemeld op het politiebureau.</p>
        <p>De politie zegt dat nog veel onduidelijk is over de aanleiding en de exacte toedracht. De technische recherche doet onderzoek in de tuin. Ook wordt gekeken of er bruikbare camerabeelden zijn en worden mogelijke getuigen gesproken.</p>
        <p>Volgens <a href=""https://www.omroepbrabant.nl/nieuws/6024840/dode-vrouw-gevonden-in-tuin-boxtel-bewoner-aangehouden"">Omroep Brabant</a> heeft de brandweer op verzoek van de politie een tent in de tuin geplaatst. Die moet het onderzoek beschermen tegen de hevige regen.</p>
        <p>De politie roept mensen die mogelijk iets hebben gezien of over informatie beschikken op zich te melden.</p>",https://images.cdn.nos.nl/4/F/n/8/x/T/iFChZkTeqCUmQZaoLeedMjjR6zE35G5REJoYBML/0x100x1920x1080-1024x576.webp,RSS,False,ボクステルの家の庭で女性の死体が発見され、住人が逮捕される
Le Monde,"EN DIRECT, guerre en Ukraine : Donald Trump assure que Vladimir Poutine « ne va pas attaquer un territoire de l’OTAN »",https://www.lemonde.fr/international/live/2026/08/27/en-direct-guerre-en-ukraine-donald-trump-assure-que-vladimir-poutine-ne-va-pas-attaquer-un-territoire-de-l-otan_6753793_3210.html,2026-08-27T21:59:19,"Le président des Etats-Unis a pris la parole après des informations parues dans la presse américaine, selon lesquelles le directeur de la CIA s’est rendu à Moscou cette semaine pour dissuader la Russie d’attaquer l’Alliance atlantique. Moscou a jugé ces informations dénuées de tout lien « avec la réalité ».",https://img.lemde.fr/2026/08/27/716/0/5305/2652/644/322/60/0/e01c87f_ftp-1-ackuzjyy0eic-2026-08-27t192435z-631805534-rc277najr319-rtrmadp-3-usa-trump.JPG,RSS,False,ライブ、ウクライナ戦争：ドナルド・トランプ大統領、ウラジーミル・プーチン大統領は「NATO領土を攻撃するつもりはない」と断言
El País,El Camp Nou disfruta con el Barça ante un Athletic en formación,https://elpais.com/deportes/futbol/2026-08-27/el-camp-nou-disfruta-con-el-barca-ante-un-athletic-en-formacion.html,2026-08-27T21:45:33,"Raphinha y Fermín rematan una victoria tan merecida como meritoria de un equipo azulgrana muy superior al conjunto vasco, sostenido por la soberbia actuación de Unai Simón",https://imagenes.elpais.com/resizer/v2/YFZTCUI3ANE7LNRW7JHLC3GMFA.jpg?auth=e9e64f7d92fa045dba773ef6c88f2d518618220706dd8f25c8294b5796dae9e3,RSS,False,カンプ・ノウはバルサとアスレティックチームの練習試合を楽しむ
El País,Trump firma una orden para llamar al lago Ontario “lago América”,https://elpais.com/internacional/2026-08-27/trump-firma-una-orden-para-llamar-al-lago-ontario-lago-america.html,2026-08-27T21:44:03,El cambio de denominación oficial representa una nueva represalia de Estados Unidos en su guerra comercial con Canadá,https://imagenes.elpais.com/resizer/v2/5PCFT6BDQJIQFNV262G6A2SQ4I.jpg?auth=65339482ab31a03616d7d5865525be7919b00b6b5a879b3dd137ded8f552e391,RSS,False,トランプ大統領はオンタリオ湖を「アメリカ湖」と呼ぶ命令に署名
FRANCE 24,US military faces ‘beyond critical’ shortage of Patriot missiles in Europe,https://www.france24.com/en/americas/20260827-us-military-faces-beyond-critical-shortage-of-patriot-missiles-in-europe,2026-08-27T21:41:16,"The US military is running critically low on Patriot missile interceptors in Europe as the war with Iran drains stocks, according to US and NATO officials. The shortfall is raising concerns about NATO’s ability to counter a potential Russian ballistic missile attack, though officials said no such assault is imminent.",https://s.france24.com/media/display/9fa3d084-8d1e-11f1-aa4f-005056bfb2b6/w:1024/p:16x9/AP23037440334200.jpg,RSS,False,米軍、欧州でパトリオットミサイルの「危機を超えた」不足に直面
RTBF (ベルギー),Élections présidentielles en France : les sept candidats se sont affrontés dans une ambiance d’orage sur le court de Roland-Garros,https://www.rtbf.be/article/elections-presidentielles-en-france-les-sept-candidats-se-sont-affrontes-dans-une-ambiance-d-orage-sur-le-court-de-roland-garros-11776345,2026-08-27T21:40:30,"Sur le court central de Roland-Garros, organisée par le Medef (organisation patronale française) et diffusée par LCI, la...",https://static-content.rtbf.be/article/image/770x433/b/9/8/9d161405afdece5cf8a593b785647bae.jpg,RSS,False,フランス大統領選挙：ローランギャロスの法廷で荒れ狂う雰囲気の中、7人の候補者が対峙した
El País,Una Champions de reencuentros: Rodri contra el Manchester City y Mourinho ante el Inter y la Roma,https://elpais.com/deportes/futbol/2026-08-27/una-champions-de-reencuentros-rodri-contra-el-manchester-city-y-mourinho-ante-el-inter-y-la-roma.html,2026-08-27T20:56:00,Los cinco equipos españoles conocen sus rivales en la Copa de Europa de camino a la final del Metropolitano,https://imagenes.elpais.com/resizer/v2/2J57V3YZUNFZJBD62MKYILV7TM.jpg?auth=9ee597f9b6eb438e3f97f3b886aab7dd6390b8f5b9946351a185c6aa58b2b159,RSS,False,再会のチャンピオンズリーグ：ロドリ対マンチェスター・シティ、モウリーニョ対インテルおよびローマ
FRANCE 24,Nigeria: the lucrative business of kidnappings,https://www.france24.com/en/nigeria-the-lucrative-business-of-kidnappings,2026-08-27T20:49:22,"In tonight's programme, we speak to a Lagos analyst behind a new report laying out the figures behind abductions. Also, Tanzania's ruling party kicks the vice-president out even after he announces his plans to step down next week. And finally in Senegal, the first African-manufactured generic drug to treat sickle cell disease is raising hopes of better treatment and reduced reliance on costly imported medicine.",https://s.france24.com/media/display/03f7ef9e-a259-11f1-93a7-005056bf30b7/w:1024/p:16x9/capture-7572894136a90a3366a1f79-85679351.jpg,RSS,False,ナイジェリア：誘拐という儲かるビジネス
FRANCE 24,Trump signs order to rename Lake Ontario to 'Lake America' as Carney pushes back,https://www.france24.com/en/americas/20260827-trump-signs-order-to-rename-lake-ontario-to-lake-america-as-carney-pushes-back,2026-08-27T20:39:59,"US President Donald Trump on Thursday signed an executive order to update the name of Lake Ontario to ""Lake America"" in the country's geographic naming service. Canadian Prime Minister Mark Carney pushed back, citing the name's Indigenous origins, as the row between the neighbors roiled on.",https://s.france24.com/media/display/f98d9008-a254-11f1-8d70-005056bfb2b6/w:1024/p:16x9/AP26239645255623.jpg,RSS,False,カーニーが反対する中、トランプ大統領、オンタリオ湖の名前を「アメリカ湖」に変更する命令に署名
RTBF (ベルギー),Coupe du monde de hockey : les Red Panthers s’inclinent face aux Pays-Bas et joueront pour la 3e place face à l'Australie,https://www.rtbf.be/article/coupe-du-monde-de-hockey-les-red-panthers-s-inclinent-face-aux-pays-bas-et-joueront-pour-la-3e-place-face-a-l-australie-11773166,2026-08-27T20:21:28,Ce sont les Néerlandaises qui se projettent vers l’avant pour étouffer les Panthers. Les locales mettent un gros...,https://static-content.rtbf.be/article/image/770x433/9/8/7/6143fd0406f38c48a2dbb3bc3b0afd51.jpg,RSS,False,ホッケーワールドカップ: レッドパンサーズはオランダに敗れ、3位争いでオーストラリアと対戦
El País,"Un incendio en la Devesa de El Saler, en Valencia, obliga a evacuar el pueblo, los camping y una torre de apartamentos",https://elpais.com/espana/comunidad-valenciana/2026-08-27/tres-medios-aereos-y-seis-dotaciones-de-bomberos-atacan-un-incendio-en-la-devesa-de-el-saler-en-valencia.html,2026-08-27T20:21:22,La Policía Local ha desalojado además la playa cercana al fuego y un aparcamiento por la evolución del humo,https://imagenes.elpais.com/resizer/v2/OIG5WNF2ABANZMZNPEXYMZGUTA.jpg?auth=5b3b7793ba3d731e04dbbfe02a0dc25208f8322b08571932c0b63728b03d9fe0,RSS,False,バレンシアのデベサ・デ・エル・サレールで火災が発生、町、キャンプ場、高層マンションが避難を余儀なくされる
NOS (オランダ),Spaanse man glijdt uit van boot na vangen tonijn op zee en wordt al dagen vermist,https://nos.nl/l/2628568,2026-08-27T20:19:53,"<p>Een Spaanse man wordt al negen dagen vermist, nadat hij in de Middellandse Zee overboord is gevallen. Zijn vrouw dobberde drie dagen rond op zee voordat ze kon worden gered, <a href=""https://www.elmundo.es/espana/2026/08/24/6a8b41d1e9cf4a73728b457d.html"">schrijven</a> Spaanse media.</p>
        <p>De 66-jarige Juan José Mutilba Obregón en zijn vrouw Carmen Díez (67) begonnen hun zeiltocht op 17 augustus vanaf de Siciliaanse havenstad Syracuse. Het stel uit Burgos was op weg naar Pylos op het Griekse schiereiland Peloponnesos.</p>
        <p>Een dag later gleed Mutilba van de boot nadat hij een tonijn had gevangen, waarschijnlijk door <strong> </strong>bloed van de vis dat op het dek terechtkwam.</p>
        <p>De man riep nog naar zijn vrouw om de motor uit te zetten, maar ze was dusdanig in shock dat ze ""niet wist hoe of niet in staat was om op tijd te reageren"", <a href=""https://forbes.es/nautik/1004508/espanol-desaparecido-barco-italia-juan-jose-mutilba/"">zei</a> haar zoon tegen Spaanse media.</p>
        <h2>Geen signaal</h2>
        <p>Díez had een pleziervaartbewijs dat ze volgens haar zoon jaren geleden had gehaald, maar ze wist niet hoe ze de catamaran moest besturen. Ze kon de zeilen daardoor niet strijken of de boot voor anker leggen. De zeilboot dreef met haar alleen aan boord stuurloos verder van de man af.</p>
        <p>De vrouw probeerde via de radio nog hulp in te schakelen, maar ze had geen bereik. Na drie dagen lukte het haar om contact te krijgen met een familievriend in Spanje. Hij schakelde de Spaanse autoriteiten in die vervolgens de Griekse en Italiaanse autoriteiten alarmeerden.</p>
        <p>Griekse patrouilleboten en een vissersschip vonden de vrouw, zo'n 33 kilometer voor de kust van Pylos. Sindsdien zijn de Italiaanse en de Griekse kustwacht bezig om de Spanjaard te vinden. Volgens Spaanse media coördineren de Italianen de zoektocht.</p>
        <h2>Coördinaten genoteerd</h2>
        <p>De vrouw was voor behandeling naar Pylos gebracht, maar is inmiddels weer teruggekeerd naar Spanje. Volgens haar zoon weigerde ze dat eerst. ""Totdat papa hier is, wil ik niet terug naar Burgos"", zei haar zoon toen namens de vrouw tegen Spaanse media.</p>
        <p>Volgens <a href=""https://www.iefimerida.gr/english/wifes-desperate-coordinates-fuel-search-spanish-sailor?amp"">Griekse</a> media noteerde de vrouw de coördinaten van de plek waar haar man van boord viel. Dat zou op zo'n 220 kilometer voor de Italiaanse kust zijn. In die omgeving wordt nu gezocht.</p>
        <p>De familieleden beklaagden zich over het gebrek aan informatie van de Italiaanse autoriteiten. Volgens hen werden ze slecht op de hoogte gehouden van de zoektocht.</p>
        <p>De vrees bestond dat de Italianen de zoektocht zouden staken, maar volgens Spaanse <a href=""https://www.elcorreodeburgos.com/burgos/260827/245252/familia-mutilba-pocas-esperanzas-lamenta-falta-apoyo-gobierno-espanol.html"">media</a> heeft de familie van de Italiaanse autoriteiten te horen gekregen dat de zoekactie naar Mutilba doorgaat, vooralsnog zonder resultaat.</p>",https://images.cdn.nos.nl/8/8/W/P/J/Z/cGdv5YLBcJGXFzs8zLeT3cQhDesMn9iTjMdeMq6/5x3x2720x1530-1024x576.webp,RSS,False,スペイン人男性が海でマグロを捕獲後ボートから滑り落ち、数日間行方不明となっている
El País,Crece la tensión en una Ceuta al borde del estallido social,https://elpais.com/espana/2026-08-27/crece-la-tension-en-una-ceuta-al-borde-del-estallido-social.html,2026-08-27T20:12:40,Un grupo de ceutíes quema parte del campamento de los migrantes en una playa de Ceuta e intenta bloquear el reparto de comida de la Cruz Roja,https://imagenes.elpais.com/resizer/v2/5QYJ46S4MJDVZITWSTGIXP2W6U.jpg?auth=0241807a2ad78196d29afe2955626d014c936ebbe2841940d5defec734fa100b,RSS,False,社会的感染拡大の瀬戸際にあるセウタで緊張が高まる
